name,description,price
Linguine allo Scoglio,"pancetta, egg, parmesan, pecorino cheese & a touch of cream",32
Spaghetti alla Carbonara,"pancetta, egg, parmesan, pecorino cheese & a touch of cream",28
Gnocchi al Pomodoro,potato gnocchi in a rich Napoli sauce w/fresh basil,29
Spaghetti con Polpette,spaghetti w/traditional Italian meatballs in a Napoli sauce,29
Ravioli,(Pumpkin & Ricotta or Duck) in a burnt butter & sage sauce w/ red wine jus & parmesan,30
Rigatoni all 'Amatriciana,"pancetta, garlic, cherry tomatoes & basil in a mild chilli Napoli sauce",29
Penne all 'Arrabbiata,"cherry tomatoes, garlic, hot chilli, olives, parsley & a touch of Napoli",28
Lasagna al Forno,layers oflasagna sheets filled w/Bolognese & bechamel sauce,32
Risotto con Pollo e Funghi,"rise, chicken, spinach, mushrooms & parmesan",29
Risotto con Gamberi,"rice, prawns, cherry tomatoes, garlic, oilve oil, white wine, spinach & lemon",32
