name,description,price
Focaccia Aglio e Olio,"garlic, mozzarella, olive oil, sea salt & rosemary",13
Margherita,"tomato sauce, mozzarella,fresh basil & olive oil",21
Diavola,"tomato sauce, mozzarella, hot salami & fresh basil",23
Napoletana,"tomato sauce, mozzarella, olives, cherry tomatoes, capers, anchovies & oregano",25
Giardiniera,"tomato sauce, mozzarella, zucchini, eggplant, cherry tom, red onion, basil & Parmesan",26
Salsiccia,"tomato sauce, mozzarella, Italian pork & fennel sausage and chilli",26
Pollo e Zucca,"tomato sauce, mozzarella, roasted chicken, pumpkin, spinach, pine nuts & olive oil",27
Capricciosa,"tomato sauce, mozzarella, ham, mushrooms, hot salami, olives & oregano",28
Prosciutto e Rucola,"tomato sauce, mozzarella, prosciutto, rocket, Parmesan cheese & olive oil",29
Amalfi,"tomato sauce, mozzarella, prawns, garlic & cherry tomatoes",30
