name,description,price
FOCACCIA AGLIO E OLIO,"garlic, mozzrella cheese,
olive oil, sea salt & rosemary",13
MARGHERITA,"tomato sauce, mozzarella cheese, fresh
basil & olive oil",21
PROSCIUTTO E RUCOLA,"tomato sauce, mozzarella,
prosciutto, rocket, parmesan cheese & olive oil",29
POLLO E ZUCCA,"tomato, sauce, mozzarella, roasted
chicken, pumpkin, spinach, pine nuts & olive oil",27
DIAVOLA,"tomato, mozzarella, hot salami & fresh basil",23
CAPRICCIOSA,"tomato sauce, mozzarella, ham,
mushrooms, hot salami, olives & fresh oregano",28
GIARDINIERA,"tomato sauce, mozzarella, zucchini,
eggplant, cherry tomatoes, red onion, basil & parmesan",26
SALSICCIA,"tomato sauce, mozzarella, Italian pork &
fennel sausage & chilli",26
NAPOLETANA,"tomato sauce, mozzarella, olives,
cherry tomatoes, capers, anchovies & oregano",25
AMALFI,"tomato sauce, mozzarella, prawns, garlic &
cherry tomatoes",30
